name,image_pass,country_name
金閣寺,World_Heritage_System\data\images\金閣寺.jpg,日本
ウシュマル,World_Heritage_System\data\images\ウシュマル.jpg,メキシコ
厳島神社,World_Heritage_System\data\images\厳島神社.jpg,日本
エアーズロック,World_Heritage_System\data\images\エアーズロック.jpg,オーストラリア
マチュピチュ,World_Heritage_System\data\images\マチュピチュ.jpg,ペルー
富岡製糸場と絹産業遺産群,World_Heritage_System\data\images\富岡製糸場と絹産業遺産群.jpg,日本
自由の女神像,World_Heritage_System\data\images\自由の女神像.jpg,アメリカ
グレート・バリア・リーフ,World_Heritage_System\data\images\グレート・バリア・リーフ.jpg,オーストラリア
ロンドン塔,World_Heritage_System\data\images\ロンドン塔.jpeg,イギリス
万里の長城,World_Heritage_System\data\images\万里の長城.jpeg,中国
ケベック歴史地区,World_Heritage_System\data\images\ケベック歴史地区.jpg,カナダ
ガラパゴス諸島,World_Heritage_System\data\images\ガラパゴス諸島.jpeg,エクアドル
モンサンミッシェルとその湾,World_Heritage_System\data\images\モンサンミッシェルとその湾.jpg,フランス
タージ・マハル,World_Heritage_System\data\images\タージ・マハル.jpeg,インド
グランドキャニオン国立公園,World_Heritage_System\data\images\グランドキャニオン国立公園.jpg,アメリカ
ナスカとパルパの地上絵,World_Heritage_System\data\images\ナスカとパルパの地上絵.jpg,ペルー
ペトラ遺跡,World_Heritage_System\data\images\ペトラ遺跡.jpeg,ヨルダン
サガルマータ国立公園,World_Heritage_System\data\images\サガルマータ国立公園.jpg,ネパール
エルサレムの旧市街とその城壁郡,World_Heritage_System\data\images\エルサレムの旧市街とその城壁郡.jpeg,-
テ・ワヒポウナム―南西ニュージーランド,World_Heritage_System\data\images\テ・ワヒポウナム―南西ニュージーランド.jpg,ニュージーランド
カトマンズ盆地,World_Heritage_System\data\images\カトマンズ盆地.jpg,ネパール
ヴィクトリアの滝,World_Heritage_System\data\images\ヴィクトリアの滝.jpg,ザンビア・ジンバブエ
パリのセーヌ河岸,World_Heritage_System\data\images\パリのセーヌ河岸.jpeg,フランス
イスタンブルの歴史地区,World_Heritage_System\data\images\イスタンブルの歴史地区.jpg,トルコ
ロス・グラシアレス国立公園,World_Heritage_System\data\images\ロス・グラシアレス国立公園.jpg,アルゼンチン
フィレンツェ歴史地区,World_Heritage_System\data\images\フィレンツェ歴史地区.jpg,イタリア
クスコ市街,World_Heritage_System\data\images\クスコ市街.jpeg,ペルー
ザルツカンマーグート地方のハルシュタット,World_Heritage_System\data\images\ザルツカンマーグート地方のハルシュタット.jpg,オーストリア
ザルツカンマーグート地方のダッハシュタイン,World_Heritage_System\data\images\ザルツカンマーグート地方のダッハシュタイン.jpg,オーストリア
古代都市テーベとその墓地遺跡,World_Heritage_System\data\images\古代都市テーベとその墓地遺跡.jpg,エジプト
恐竜州立公園,World_Heritage_System\data\images\恐竜州立公園.jpg,カナダ
ギョレメ国立公園とカッパドキアの岩窟群,World_Heritage_System\data\images\ギョレメ国立公園とカッパドキアの岩窟群.jpeg,トルコ